author,date,text,rating,source
Михаил Иванцов,,Отличное начало для перевода всей работы в безнал. Элементарное использование и многофункциональность - лучшее сочетание и это точно про карту от РН-карт.,5,2gis
Matvey Krysanov,,"У меня о Роснефть только хорошие впечатления. Карты оформили быстро, а мне теперь удобно отслеживать все действия в личном кабинете и контролировать лимит.",5,2gis
andreev_lekha_1979_11_3,,"Достаточно давно использую РН-Карт и не заметил для себя никаких недостатков. Очень удобно изучать все автоматизированные отчеты, денежные средства зачисляются быстро. Также устраивают тарифные планы, которые можно подобрать в зависимости от размера бизнеса.",5,2gis
Андрей,,"Оформил карту на свой небольшой автопарк и не жалею. Система удобная, картами легко управлять, а экономия по тарифу выходит существенная. Сложностей не бойтесь, приложение, через которое ТК работает, довольно простое, с ним разберётся каждый. Полностью отказаться от налички это действительно удобно, причём как мне, так и водителям.",4,2gis
wentgunquifin1976,,"Оставлю положительный отзыв, потому что не нашел недостатков за долгий период использования. Вся информация в приложении представлена в деталях, смотреть удобно, счет пополнять быстро. Я руководитель в компании по доставке и установке сантехники. Пользуемся картами регулярно, весь штат оценил.",4,2gis
riabkov_maksim_1983_13_8,,"Мое субъективное мнение - карта оправдывает себя на все 100. Есть, пить не просит. Приложение сделано удобно, функции подобраны грамотно, нет всякого бреда. Отличное начало для перевода всей работы в безнал. Элементарное использование и многофункциональность - лучшее сочетание и это точно про карту от РН-карт.",5,2gis
Олег Гордон,,"Я рад, что карту не забрасывают, над ней работают и модернизируют как только могут. Я картой доволен, как и большинство людей. Удобная, практична. Рн-карт могу похвалить за оперативность и грамотное обслуживание. Для меня она очень полезна(владелец компании по доставке тортов).",5,2gis
Денис Поляков,,"Сравнить топливную карту от РН-карт, к сожалению, мне не с чем. Я пользуюсь ей уже долгие 5 лет. Работает исправно, в приложение нет - нет да что-то добавят. Карту оформлял на всех сотрудников моей компании по доставке мебели. Оформлял 5 лет назад, но, что странно, карта не потеряла своей актуальности.",5,2gis
Mikhail Lop,,"Я доволен топливной картой от РН-карт. Мы с ней, так сказать, через многое прошли. Я владелец компании по доставке продуктов и пользуюсь картами роснефть все работники в моем подчинении. Круто, что компании не все равно на преданных клиентов. Одни плюсы!",5,2gis
Максим,,"У меня своя компания по чистке ковров. Хлопать ковры на заднем дворе уже не можно, и чистка пользуемся большой популярностью. Мы не работаем на личных автомобилях, только на корпоративных. В штате есть 15 чистильщиков и 6 водителей. У последних есть карты от РН-карт. Я завел их по совету приятеля. Признаться, я благодарен ему за это. Карта не требует вложений, нужно только подписать договор с РН-карт и все. Есть возможность получать скидки, следить за расходами, получать готовые отчеты и многое другое. Для водителей предусмотрены специальные плюшки. Часто выходят обновления для приложения. С годами работа только улучшилась.",5,2gis
Тимур,,"С напарником открыли свою компанию по доставке продуктов. Он предложил оформить топливные карты на всех сотрудников. Это случилось через 3 года после открытия. Я с удовольствием поддержал, потому что тянуть все на себе было очень тяжело. РН-карт удивили оперативностью в работе. Карты выдали через 3 дня после подписания документов. Да и в целом компания стала расти быстрее, потому что у нас появилось время работать над улучшением. Может в будущем найду недостатки какие-нибудь, но сейчас получаем только помощь от нее.",5,2gis
Дмитрий Смолин,,"Круто, что многие люди действительно тратят свое время на написание отзывов про определенный продукт. Мне это очень помогло несколько лет назад, когда я выбирал себе компанию, от которой хочу завести топливные карты всем работникам. У меня своя компания по доставке пиццы. Иметь постоянных доставщиков гораздо приятнее и надежнее, чем вечно доверять посторонним людям. Карты от РН-карт удобны не только мне, но и для водителей тоже есть много функций, таких как карта с АЗС, оплата из салона, легкое отслеживание расходов. Для меня автоматизированные отчеты, быстрое пополнение счета и детальные транзакции.",4,2gis
vaniaiw7,,"Я пользуюсь топливными картами от РН-карт уже 5 лет. Все это время приложение продолжает усовершенствоваться. Я руководитель компании по доставке цветов, штат водителей на сегодняшний день уже 32 человека. Следить за таким количеством человек и оставаться в трезвом уме у меня получается только с картой. Может быть есть гипер люди, которые справляются с этим сами, но точно не я. Я стараюсь по максимуму экономить время за бумагами и отчетами, чтобы уделять внимание сотрудникам и работать над усовершенствованием компании. Пока получается идеально. За столько лет работы я ни разу не ловил себя на мысли, что карта становиться бесполезной и тд.",4,2gis
Илья,,"С супругой открыли компанию по созданию и доставке нижнего белья. Часто отправляем белье по городу и иногда в близлежащие поселки. Доставщикам оформили карты роснефть от РН-карт. В приложении есть карта с расположением заправок, наглядная отчетность. Пополняется счет быстро, 10-15 минут в среднем.",4,2gis
dima68,,"2 года назад открыл ИП. Долго к этому шел. Сейчас доставляем прекрасные букеты цветов по всему городу. Доставщики у меня постоянные, доверяю их машины только компании роснефть. Топливные карты роснефть от РН-карт завели быстро. Пользуемся скидками, специальными предложениями. Исполнение идеи на отлично. Во многом упросило работу руководителя.",4,2gis
Михаил,,"Я оставил прошлое портного и открыл свою компанию по изготовлению мужских костюмов. Сначала набрал штат изготовителей. Получить готовое изделие можно было только придя в салон. Доставки не было вообще. И вот прошло 7 лет и пол года назад я открыл доставки в другие города. Почтой не пользуемся, товары доставляются на микроавтобусе, иногда на обычных машинах, в редких случаях на автофургонах, если доставка крупная. Водители у меня пользуются топливными картами от РН-карт. Удаленная работа с ними возможна, а для меня это главный критерий. Я могу на большом расстоянии от водителя посмотреть когда он заправлялся, где и чем. А в любой момент еще и готовый отчет под рукой.",4,2gis
