author,date,text,rating,source
Юрий,,"О том, что мне нужны топливные карты, я задумался уже давно. Месяц назад знакомый посоветовал карту Роснефть, так как сам пользуется ей уже пару месяцев. Я почитал отзывы на сайтах и информацию в интернете и решил попробовать. Сразу было довольно непривычно, плюс не совсем понимал какой лимит выставить для своих рабочих. Но менеджер, которая перезвонила мне после оставленной заявки, помогла разобраться во всех вопросах. В целом ничего сложного, нужно только попробовать и дальше все идет на автомате. Из преимуществ - я могу выставлять лимит по топливу для всех сотрудников, а все данные по транзакциям хранятся в личном кабинете. Топливная карта упростила работу, особенно что касается отчетов. Существенных недостатков не заметил, надеюсь их и не будет.",5,2gis
aslan.volkov.82,,"Я согласен со многими людьми, оставляющими отзывы. Потому что варюсь с ним в одной каше. У меня своя компания по доставке стройматериалов и мне сложно представить работу без топливных карт. Функций много, они полезны. Тратиться не нужно. Персонал у РН-карт крутой, на все ответят, все расскажут. 5/5.",5,2gis
pordewivag1979,,"Я искренне считаю, что моей лучшей идеей было завести топливную карту от РН-карт как только я открыл свою компанию. Я занимаюсь грузоперевозками больше 6 лет. Часто разговариваем с другими руководителями и, к сожалению, не каждый поступил так мудро, как я. Проблема даже не в том, что между владельцем и водителем нет доверия, а в том, что весь груз отчетности падает на одни плечи. А это очень тяжело. К счастью, не сталкивался, но знаю. Приложение сделано отлично, очень простым для понимания и не лагающим. Функции крутые, как для меня, так и для моих работников. В целом, отличный продукт, которым буду пользоваться пока не придумают что-то в разы лучше.",5,2gis
Дмитрий Андреянов,,"Топливной картой польюсь всего ничего пол года. Решил не писать отзыв сразу после получения, а начал изучать функции, возможности, чтобы рассказать о реальных достоинствах. Которых, кстати, вагон и тележка. Что точно не скажешь о недостатках, я их не нашел. У меня своя компания по доставке тортов в которой есть 21 доставщик. Оформить решил сразу на всех, чтобы потом не было проблем. Было легко перейти на другой вид работы, особенно мне. Потому что у водителей, кроме полезных функций, мало что изменилось. Приложение сделано просто, я бы даже сказал очень просто. Разобрались все и очень быстро. В целом, продуктом доволен. Качественный помощник в моих делах.",4,2gis
Петр Пестов,,"Оформлял топливные карты от РН-карт, только потому, что читал множество положительных отзывов. Я владелец компании по грузоперевозкам и теперь я понимаю, почему все юр лица так хвалят карты. Есть множество возможностей, которые помогают облегчить работу. Похвально.",5,2gis
Максим,,"Я сглупил, что не завел топливную карту от РН-карт тогда, когда только о ней узнал. Не думаю, что был бы сильно богаче сейчас, но парочка морщинок вылезла явно раньше времени. У меня своя компания по грузоперевозкам, которая открылась долгих 7 лет назад. Средств, понятно, не было на отдельного “бумажного” человека, поэтому нес все на себе. Если у вас такой человек есть, то карта будет полезна просто тем, что всегда можно глянуть, что там по расходам. Мне она достаточно времени экономит. Штат сотрудников сильно вырос, тогда-то я и понял, что сам не вывожу. С картой полегче стало. Значительно. Поэтому не рекомендовать не могу. Все хорошо, придраться не к чему.",5,2gis
Дмитрий,,"Когда разошлись с женой, с которой вместе открывали компанию по доставке тортов, она отказалась от своих обязанностей и просто ушла. Вот тогда я и присел. Сложно было выполнять все и сразу, особенно когда ты в этом не так и хорош. Поэтому оформил доставщикам топливные карты от РН-карт. С отчетами и всей этой писаниной у меня с детства не было дружбы. И тут я понял один факт, что целого человека смогла заменить одна топливная карта. Я не говорю про 100%, но я теперь хотя бы каждый день не валюсь с ног.",5,2gis
Максим,,"Хочу начать сразу с достоинств. Карту очень быстро оформлять, даже если нужно сразу на 10, 15, 20 или 30 человек. В неделю можно точно управиться. Это огромный плюс, потому что мало кому захочется оформлять документы в несколько этапов, ждать месяц, а потом только получать. Это круто. Хочу сказать свое мнение, как руководителя. У меня компания по грузоперевозкам. Существует она давно, картами в ней начали пользоваться лет 7 назад. В то время, это для меня была настоящая находка. Она не стала хуже, просто я привык к работе с ней. За эти годы я научился пользоваться функциями так, что стало уже нормой быть свободным от бумаг по несколько часов в день. Сейчас у меня 30+ водителей и я не знаю, справился бы я с ними без карты сейчас. Хорошо, что мне не надо парить этим голову.",5,2gis
Александр,,"Много лет назад я уже писал отзыв о компании РН-карт. Хочу обновить свои слова и может быть помочь кому-то с выбором тк. Если вам нужно сделать свой день менее загруженным - карта прекрасно с этим справиться. Если цель много сэкономить, то не уверен. Скидки на сопутствующие товары предоставляется, но, чтобы я знатно разбогател, я такого не заметил. У меня своя компания по доставке цветов. Существует она уже 7 лет, 5 из которых мы работаем с картами. Я рад, и убирать их из работы у меня желания нет никакого. У водителей есть такие функции, как: карта с АЗС, к которой можно построить маршрут; бесконтактная оплата или оплата прямо из слона. Это очень пригодилось, когда был большой риск заразиться и слечь. Мне до сих пор нравится.",4,2gis
Артем Соколов,,"Меня полностью устраивает топливная карта от Рн-карт. За все время, что я руководитель компании по грузоперевозкам, я много раз сталкивался с кражей денег. Конечно, не понятно, кто сколько мог взять, но думаю и хорошо, что я не знаю точной суммы. Кто-то потерял деньги, кто-то чек потерял или нагрел так, чтобы не было ничего видно. Но я справился с этим только благодаря топливной карте. Что-что, а с отслеживанием расходов карта справляется идеально. Еще хотелось бы выделить функцию автоматизации отчетов. Пользуюсь ей постоянно, очень облегчает день.",4,2gis
Наталья,,"Три с половиной года сотрудничаем с компанией роснефть. Открыла своё ИП по созданию и доставке вечерних платьев. Постоянные расчёты  и выдача наличных каждому - не для меня. Поэтому оформила каждому по топливной карте от РН - карт. Штат расширяется, новые сотрудники так же получают карты. Опрашивала работников об удобстве карты - никто не жаловался.",4,2gis
Антон,,"Моя компания тесно связана с сетью заправок роснефть. Доставляем стройматериалы в разные города. Заправка - неотъемлемая часть работы. Карты роснефть от РН-карт есть у всех сотрудников. Они выдаются после двух недель работы. Стабильно пользуюсь приложением, слежу за обновлениями и улучшениями. Нареканий в работе нет.",4,2gis
Богдан,,"Я владелец компании по укладке плитки, открыл ее около 8 лет назад. Для профессиональной работы требуется много материалов и инструментов. Пользуемся корпоративными машинами для аккуратной транспортировки. Отдельная должность водителя в компании есть. У нас частые заказы, редко хотя бы 1 из 9 водителей сидит без дела. У водителей имеются карты роснефть от РН-карт. Меня самого устраивает работа с ними, водители так же хорошего мнения. Для меня комфортная работа сотрудников на первом месте. Я могу не сидеть сутками в офисе в ожидании бригады, которая идет отчитываться. Все транзакции вижу в личном кабинете. Сделано очень круто.",4,2gis
